[2026-02-20 11:15:46] Starting training | model=resnet_cifar | mode=best
[2026-02-20 11:15:46] Device: cuda
[2026-02-20 11:15:48] Best mode: strong aug, SGD + cosine LR, early stop patience=30
[2026-02-20 11:15:48] Train: 45000 | Val: 5000 | Test: 10000
[2026-02-20 11:32:43] Epoch 72 | Train Loss: 4.5959 | Train Acc: 1.75% | Val Loss: 4.5978 | Val Acc: 1.48% | LR: 0.098726 | Elapsed: 00:16:55
[2026-02-20 11:32:58] Epoch 73 | Train Loss: 4.5960 | Train Acc: 1.79% | Val Loss: 4.5996 | Val Acc: 1.52% | LR: 0.098691 | Elapsed: 00:17:10
[2026-02-20 11:33:12] Epoch 74 | Train Loss: 4.5962 | Train Acc: 1.79% | Val Loss: 4.6003 | Val Acc: 1.46% | LR: 0.098655 | Elapsed: 00:17:24
[2026-02-20 11:33:26] Epoch 75 | Train Loss: 4.5964 | Train Acc: 1.80% | Val Loss: 4.5992 | Val Acc: 1.50% | LR: 0.098618 | Elapsed: 00:17:37
[2026-02-20 11:33:40] Epoch 76 | Train Loss: 4.5964 | Train Acc: 1.80% | Val Loss: 4.5986 | Val Acc: 1.52% | LR: 0.098582 | Elapsed: 00:17:51
[2026-02-20 11:33:54] Epoch 77 | Train Loss: 4.5964 | Train Acc: 1.79% | Val Loss: 4.5989 | Val Acc: 1.56% | LR: 0.098544 | Elapsed: 00:18:05
[2026-02-20 11:34:08] Epoch 78 | Train Loss: 4.5962 | Train Acc: 1.78% | Val Loss: 4.5996 | Val Acc: 1.44% | LR: 0.098506 | Elapsed: 00:18:20
[2026-02-20 11:34:22] Epoch 79 | Train Loss: 4.5967 | Train Acc: 1.74% | Val Loss: 4.6004 | Val Acc: 1.42% | LR: 0.098468 | Elapsed: 00:18:34
[2026-02-20 11:34:36] Epoch 80 | Train Loss: 4.5961 | Train Acc: 1.71% | Val Loss: 4.6002 | Val Acc: 1.52% | LR: 0.098429 | Elapsed: 00:18:48
[2026-02-20 11:34:50] Epoch 81 | Train Loss: 4.5959 | Train Acc: 1.80% | Val Loss: 4.5988 | Val Acc: 1.44% | LR: 0.098390 | Elapsed: 00:19:02
[2026-02-20 11:35:04] Epoch 82 | Train Loss: 4.5958 | Train Acc: 1.80% | Val Loss: 4.5982 | Val Acc: 1.50% | LR: 0.098350 | Elapsed: 00:19:16
[2026-02-20 11:35:19] Epoch 83 | Train Loss: 4.5961 | Train Acc: 1.77% | Val Loss: 4.6003 | Val Acc: 1.34% | LR: 0.098310 | Elapsed: 00:19:30
[2026-02-20 11:35:33] Epoch 84 | Train Loss: 4.5967 | Train Acc: 1.75% | Val Loss: 4.5991 | Val Acc: 1.54% | LR: 0.098269 | Elapsed: 00:19:44
[2026-02-20 11:35:46] Epoch 85 | Train Loss: 4.5962 | Train Acc: 1.75% | Val Loss: 4.5992 | Val Acc: 1.46% | LR: 0.098228 | Elapsed: 00:19:58
[2026-02-20 11:36:00] Epoch 86 | Train Loss: 4.5962 | Train Acc: 1.78% | Val Loss: 4.5992 | Val Acc: 1.46% | LR: 0.098186 | Elapsed: 00:20:12
[2026-02-20 11:36:14] Epoch 87 | Train Loss: 4.5961 | Train Acc: 1.80% | Val Loss: 4.6004 | Val Acc: 1.34% | LR: 0.098144 | Elapsed: 00:20:26
[2026-02-20 11:36:29] Epoch 88 | Train Loss: 4.5962 | Train Acc: 1.79% | Val Loss: 4.5987 | Val Acc: 1.54% | LR: 0.098101 | Elapsed: 00:20:41
[2026-02-20 11:36:43] Epoch 89 | Train Loss: 4.5960 | Train Acc: 1.77% | Val Loss: 4.6007 | Val Acc: 1.38% | LR: 0.098058 | Elapsed: 00:20:55
[2026-02-20 11:36:57] Epoch 90 | Train Loss: 4.5962 | Train Acc: 1.79% | Val Loss: 4.6002 | Val Acc: 1.44% | LR: 0.098015 | Elapsed: 00:21:09
[2026-02-20 11:37:11] Epoch 91 | Train Loss: 4.5959 | Train Acc: 1.78% | Val Loss: 4.5989 | Val Acc: 1.48% | LR: 0.097971 | Elapsed: 00:21:22
[2026-02-20 11:37:25] Epoch 92 | Train Loss: 4.5963 | Train Acc: 1.79% | Val Loss: 4.6009 | Val Acc: 1.34% | LR: 0.097926 | Elapsed: 00:21:36
[2026-02-20 11:37:39] Epoch 93 | Train Loss: 4.5960 | Train Acc: 1.75% | Val Loss: 4.5999 | Val Acc: 1.48% | LR: 0.097881 | Elapsed: 00:21:51
[2026-02-20 11:37:53] Epoch 94 | Train Loss: 4.5962 | Train Acc: 1.77% | Val Loss: 4.5984 | Val Acc: 1.54% | LR: 0.097836 | Elapsed: 00:22:05
[2026-02-20 11:38:07] Epoch 95 | Train Loss: 4.5962 | Train Acc: 1.77% | Val Loss: 4.5997 | Val Acc: 1.48% | LR: 0.097790 | Elapsed: 00:22:19
[2026-02-20 11:38:21] Epoch 96 | Train Loss: 4.5961 | Train Acc: 1.77% | Val Loss: 4.5998 | Val Acc: 1.42% | LR: 0.097743 | Elapsed: 00:22:33
[2026-02-20 11:38:35] Epoch 97 | Train Loss: 4.5964 | Train Acc: 1.77% | Val Loss: 4.5993 | Val Acc: 1.56% | LR: 0.097696 | Elapsed: 00:22:47
[2026-02-20 11:38:50] Epoch 98 | Train Loss: 4.5955 | Train Acc: 1.81% | Val Loss: 4.5989 | Val Acc: 1.54% | LR: 0.097649 | Elapsed: 00:23:01
[2026-02-20 11:39:04] Epoch 99 | Train Loss: 4.5960 | Train Acc: 1.82% | Val Loss: 4.6004 | Val Acc: 1.26% | LR: 0.097601 | Elapsed: 00:23:15
[2026-02-20 11:39:17] Epoch 100 | Train Loss: 4.5959 | Train Acc: 1.76% | Val Loss: 4.5994 | Val Acc: 1.36% | LR: 0.097553 | Elapsed: 00:23:29
[2026-02-20 11:39:31] Epoch 101 | Train Loss: 4.5964 | Train Acc: 1.73% | Val Loss: 4.6005 | Val Acc: 1.36% | LR: 0.097504 | Elapsed: 00:23:43
[2026-02-20 11:39:45] Epoch 102 | Train Loss: 4.5960 | Train Acc: 1.81% | Val Loss: 4.6001 | Val Acc: 1.38% | LR: 0.097455 | Elapsed: 00:23:57
[2026-02-20 11:40:00] Epoch 103 | Train Loss: 4.5965 | Train Acc: 1.76% | Val Loss: 4.5993 | Val Acc: 1.38% | LR: 0.097405 | Elapsed: 00:24:12
[2026-02-20 11:40:14] Epoch 104 | Train Loss: 4.5962 | Train Acc: 1.74% | Val Loss: 4.5998 | Val Acc: 1.36% | LR: 0.097355 | Elapsed: 00:24:26
[2026-02-20 11:40:28] Epoch 105 | Train Loss: 4.5962 | Train Acc: 1.75% | Val Loss: 4.5992 | Val Acc: 1.50% | LR: 0.097304 | Elapsed: 00:24:39
[2026-02-20 11:40:42] Epoch 106 | Train Loss: 4.5962 | Train Acc: 1.78% | Val Loss: 4.6004 | Val Acc: 1.22% | LR: 0.097253 | Elapsed: 00:24:53
[2026-02-20 11:40:56] Epoch 107 | Train Loss: 4.5961 | Train Acc: 1.82% | Val Loss: 4.5997 | Val Acc: 1.48% | LR: 0.097202 | Elapsed: 00:25:07
[2026-02-20 11:41:10] Epoch 108 | Train Loss: 4.5964 | Train Acc: 1.77% | Val Loss: 4.6009 | Val Acc: 1.36% | LR: 0.097150 | Elapsed: 00:25:22
[2026-02-20 11:41:24] Epoch 109 | Train Loss: 4.5963 | Train Acc: 1.78% | Val Loss: 4.5991 | Val Acc: 1.46% | LR: 0.097097 | Elapsed: 00:25:36
[2026-02-20 11:41:38] Epoch 110 | Train Loss: 4.5966 | Train Acc: 1.76% | Val Loss: 4.6003 | Val Acc: 1.42% | LR: 0.097044 | Elapsed: 00:25:50
[2026-02-20 11:41:52] Epoch 111 | Train Loss: 4.5962 | Train Acc: 1.80% | Val Loss: 4.6001 | Val Acc: 1.36% | LR: 0.096991 | Elapsed: 00:26:04
[2026-02-20 11:42:06] Epoch 112 | Train Loss: 4.5959 | Train Acc: 1.78% | Val Loss: 4.6009 | Val Acc: 1.42% | LR: 0.096937 | Elapsed: 00:26:18
[2026-02-20 11:42:20] Epoch 113 | Train Loss: 4.5966 | Train Acc: 1.71% | Val Loss: 4.5986 | Val Acc: 1.60% | LR: 0.096882 | Elapsed: 00:26:32
[2026-02-20 11:42:34] Epoch 114 | Train Loss: 4.5958 | Train Acc: 1.80% | Val Loss: 4.5998 | Val Acc: 1.50% | LR: 0.096827 | Elapsed: 00:26:46
[2026-02-20 11:42:48] Epoch 115 | Train Loss: 4.5959 | Train Acc: 1.79% | Val Loss: 4.5987 | Val Acc: 1.56% | LR: 0.096772 | Elapsed: 00:27:00
[2026-02-20 11:43:02] Epoch 116 | Train Loss: 4.5970 | Train Acc: 1.67% | Val Loss: 4.6001 | Val Acc: 1.42% | LR: 0.096716 | Elapsed: 00:27:14
[2026-02-20 11:43:16] Epoch 117 | Train Loss: 4.5962 | Train Acc: 1.75% | Val Loss: 4.6008 | Val Acc: 1.28% | LR: 0.096660 | Elapsed: 00:27:28
[2026-02-20 11:43:30] Epoch 118 | Train Loss: 4.5967 | Train Acc: 1.75% | Val Loss: 4.6005 | Val Acc: 1.34% | LR: 0.096604 | Elapsed: 00:27:42
[2026-02-20 11:43:44] Epoch 119 | Train Loss: 4.5963 | Train Acc: 1.76% | Val Loss: 4.6061 | Val Acc: 1.26% | LR: 0.096546 | Elapsed: 00:27:56
[2026-02-20 11:43:58] Epoch 120 | Train Loss: 4.5966 | Train Acc: 1.75% | Val Loss: 4.5984 | Val Acc: 1.50% | LR: 0.096489 | Elapsed: 00:28:10
[2026-02-20 11:44:12] Epoch 121 | Train Loss: 4.5963 | Train Acc: 1.78% | Val Loss: 4.5991 | Val Acc: 1.52% | LR: 0.096431 | Elapsed: 00:28:24
[2026-02-20 11:44:26] Epoch 122 | Train Loss: 4.5962 | Train Acc: 1.74% | Val Loss: 4.5984 | Val Acc: 1.50% | LR: 0.096372 | Elapsed: 00:28:38
[2026-02-20 11:44:40] Epoch 123 | Train Loss: 4.5962 | Train Acc: 1.75% | Val Loss: 4.5995 | Val Acc: 1.44% | LR: 0.096313 | Elapsed: 00:28:52
[2026-02-20 11:44:54] Epoch 124 | Train Loss: 4.5962 | Train Acc: 1.77% | Val Loss: 4.6011 | Val Acc: 1.34% | LR: 0.096254 | Elapsed: 00:29:06
[2026-02-20 11:45:08] Epoch 125 | Train Loss: 4.5965 | Train Acc: 1.75% | Val Loss: 4.5986 | Val Acc: 1.52% | LR: 0.096194 | Elapsed: 00:29:20
[2026-02-20 11:45:22] Epoch 126 | Train Loss: 4.5960 | Train Acc: 1.77% | Val Loss: 4.5997 | Val Acc: 1.40% | LR: 0.096134 | Elapsed: 00:29:34
[2026-02-20 11:45:36] Epoch 127 | Train Loss: 4.5957 | Train Acc: 1.78% | Val Loss: 4.5993 | Val Acc: 1.42% | LR: 0.096073 | Elapsed: 00:29:48
[2026-02-20 11:45:51] Epoch 128 | Train Loss: 4.5963 | Train Acc: 1.74% | Val Loss: 4.5999 | Val Acc: 1.42% | LR: 0.096012 | Elapsed: 00:30:03
[2026-02-20 11:46:05] Epoch 129 | Train Loss: 4.5965 | Train Acc: 1.76% | Val Loss: 4.6011 | Val Acc: 1.48% | LR: 0.095950 | Elapsed: 00:30:16
[2026-02-20 11:46:19] Epoch 130 | Train Loss: 4.5961 | Train Acc: 1.79% | Val Loss: 4.6031 | Val Acc: 1.10% | LR: 0.095888 | Elapsed: 00:30:30
